Title,Authors,Description,Thumbnail URL
"Machine Learning with PyTorch and Scikit-Learn","Sebastian Raschka, Yuxi (Hayden) Liu, Vahid Mirjalili","This book of the bestselling and widely acclaimed Python Machine Learning series is a comprehensive guide to machine and deep learning using PyTorch s simple to code framework. Purchase of the print or Kindle book includes a free eBook in PDF format. Key Features Learn applied machine learning with a solid foundation in theory Clear, intuitive explanations take you deep into the theory and practice of Python machine learning Fully updated and expanded to cover PyTorch, transformers, XGBoost, graph neural networks, and best practices Book DescriptionMachine Learning with PyTorch and Scikit-Learn is a comprehensive guide to machine learning and deep learning with PyTorch. It acts as both a step-by-step tutorial and a reference you'll keep coming back to as you build your machine learning systems. Packed with clear explanations, visualizations, and examples, the book covers all the essential machine learning techniques in depth. While some books teach you only to follow instructions, with this machine learning book, we teach the principles allowing you to build models and applications for yourself. Why PyTorch? PyTorch is the Pythonic way to learn machine learning, making it easier to learn and simpler to code with. This book explains the essential parts of PyTorch and how to create models using popular libraries, such as PyTorch Lightning and PyTorch Geometric. You will also learn about generative adversarial networks (GANs) for generating new data and training intelligent agents with reinforcement learning. Finally, this new edition is expanded to cover the latest trends in deep learning, including graph neural networks and large-scale transformers used for natural language processing (NLP). This PyTorch book is your companion to machine learning with Python, whether you're a Python developer new to machine learning or want to deepen your knowledge of the latest developments.What you will learn Explore frameworks, models, and techniques for machines to learn from data Use scikit-learn for machine learning and PyTorch for deep learning Train machine learning classifiers on images, text, and more Build and train neural networks, transformers, and boosting algorithms Discover best practices for evaluating and tuning models Predict continuous target outcomes using regression analysis Dig deeper into textual and social media data using sentiment analysis Who this book is for If you have a good grasp of Python basics and want to start learning about machine learning and deep learning, then this is the book for you. This is an essential resource written for developers and data scientists who want to create practical machine learning and deep learning applications using scikit-learn and PyTorch. Before you get started with this book, you’ll need a good understanding of calculus, as well as linear algebra.","http://books.google.com/books/content?id=SVxaEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Machine Learning","T V Geetha, S Sendhilkumar","Machine Learning: Concepts, Techniques and Applications starts at basic conceptual level of explaining machine learning and goes on to explain the basis of machine learning algorithms. The mathematical foundations required are outlined along with their associations to machine learning. The book then goes on to describe important machine learning algorithms along with appropriate use cases. This approach enables the readers to explore the applicability of each algorithm by understanding the differences between them. A comprehensive account of various aspects of ethical machine learning has been discussed. An outline of deep learning models is also included. The use cases, self-assessments, exercises, activities, numerical problems, and projects associated with each chapter aims to concretize the understanding. Features Concepts of Machine learning from basics to algorithms to implementation Comparison of Different Machine Learning Algorithms – When to use them & Why – for Application developers and Researchers Machine Learning from an Application Perspective – General & Machine learning for Healthcare, Education, Business, Engineering Applications Ethics of machine learning including Bias, Fairness, Trust, Responsibility Basics of Deep learning, important deep learning models and applications Plenty of objective questions, Use Cases, Activity and Project based Learning Exercises The book aims to make the thinking of applications and problems in terms of machine learning possible for graduate students, researchers and professionals so that they can formulate the problems, prepare data, decide features, select appropriate machine learning algorithms and do appropriate performance evaluation.","http://books.google.com/books/content?id=iKEIEQAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Machine Learning for Beginners","Manish Soni","This book is designed to be more than just a traditional textbook; it is a complete learning resource tailored to meet the needs of learners at all levels. Whether you are a student embarking on your first journey into deep learning or an experienced professional seeking to deepen your knowledge and skills, this guide provides the tools and resources necessary to achieve your goals.","http://books.google.com/books/content?id=67A0EQAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Machine Learning","Giridhar Boray","Machine Learning (ML) is an intergral part of Artificial Intelligence which is finding increasing usage in applications such as autonomous driving, speech recognition, recommendation systems, intelligent search, population prediction etc. The explosive growth in Machine Learning is due to almost simultaneous availability of high processing power, high storage capacity and high network speed. There are many excellent books on Machine Learning which provide excellent theoretical treatment. There is an extensive library of routines (mostly in python) that one can use to quickly implement modern Machine Learning algorithms. This handbook attempts to provide a bridge between theoretical formulations of Machine Learning algorithms and implementations so that a practitioner can appreciate the theoretical underpinnings and develop the skills to modify or develop python routines from scratch instead of relying on bulit in routines always. This book attempts to cover 13 major Machine Learning algorithms - Linear Regression Learning, Logistic Regression Learning, k-Nearest Neighbor (k-NN) classification, Bayesian Learning, Decision Tree Learning, Random Forest Classifier, Principal Component Analysis, Artificial Neural Network Learning, k-Means Clustering, Reinforcement Learning, Support Vector Machines, Time Series Machine Learning, and Machine Learning with Adaptive Filters. These algorithms are implemented using commonly available tools such as Microsoft Excel and python. While many libraries and routine are available in implementing ML with languages such as Python, it is important for a practitioner to understand the basic theory behind the algorithms. This will enable one to develop customized solutions or modify available routines for specific problems or implement brand new algorithms for which there may not be ready made libraries or routines.","http://books.google.com/books/content?id=Vdy0EAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Machine Learning","Zhi-Hua Zhou","Machine Learning, a vital and core area of artificial intelligence (AI), is propelling the AI field ever further and making it one of the most compelling areas of computer science research. This textbook offers a comprehensive and unbiased introduction to almost all aspects of machine learning, from the fundamentals to advanced topics. It consists of 16 chapters divided into three parts: Part 1 (Chapters 1-3) introduces the fundamentals of machine learning, including terminology, basic principles, evaluation, and linear models; Part 2 (Chapters 4-10) presents classic and commonly used machine learning methods, such as decision trees, neural networks, support vector machines, Bayesian classifiers, ensemble methods, clustering, dimension reduction and metric learning; Part 3 (Chapters 11-16) introduces some advanced topics, covering feature selection and sparse learning, computational learning theory, semi-supervised learning, probabilistic graphical models, rule learning, and reinforcement learning. Each chapter includes exercises and further reading, so that readers can explore areas of interest. The book can be used as an undergraduate or postgraduate textbook for computer science, computer engineering, electrical engineering, data science, and related majors. It is also a useful reference resource for researchers and practitioners of machine learning.","http://books.google.com/books/content?id=ctM-EAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Machine Learning for iOS Developers","Abhishek Mishra","Harness the power of Apple iOS machine learning (ML) capabilities and learn the concepts and techniques necessary to be a successful Apple iOS machine learning practitioner! Machine earning (ML) is the science of getting computers to act without being explicitly programmed. A branch of Artificial Intelligence (AI), machine learning techniques offer ways to identify trends, forecast behavior, and make recommendations. The Apple iOS Software Development Kit (SDK) allows developers to integrate ML services, such as speech recognition and language translation, into mobile devices, most of which can be used in multi-cloud settings. Focusing on Apple’s ML services, Machine Learning for iOS Developers is an up-to-date introduction to the field, instructing readers to implement machine learning in iOS applications. Assuming no prior experience with machine learning, this reader-friendly guide offers expert instruction and practical examples of ML integration in iOS. Organized into two sections, the book’s clearly-written chapters first cover fundamental ML concepts, the different types of ML systems, their practical uses, and the potential challenges of ML solutions. The second section teaches readers to use models—both pre-trained and user-built—with Apple’s CoreML framework. Source code examples are provided for readers to download and use in their own projects. This book helps readers: Understand the theoretical concepts and practical applications of machine learning used in predictive data analytics Build, deploy, and maintain ML systems for tasks such as model validation, optimization, scalability, and real-time streaming Develop skills in data acquisition and modeling, classification, and regression. Compare traditional vs. ML approaches, and machine learning on handsets vs. machine learning as a service (MLaaS) Implement decision tree based models, an instance-based machine learning system, and integrate Scikit-learn & Keras models with CoreML Machine Learning for iOS Developers is a must-have resource software engineers and mobile solutions architects wishing to learn ML concepts and implement machine learning on iOS Apps.","http://books.google.com/books/content?id=nAbQDwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Distributed Machine Learning Patterns","Yuan Tang","Practical patterns for scaling machine learning from your laptop to a distributed cluster. Distributing machine learning systems allow developers to handle extremely large datasets across multiple clusters, take advantage of automation tools, and benefit from hardware accelerations. This book reveals best practice techniques and insider tips for tackling the challenges of scaling machine learning systems. In Distributed Machine Learning Patterns you will learn how to: Apply distributed systems patterns to build scalable and reliable machine learning projects Build ML pipelines with data ingestion, distributed training, model serving, and more Automate ML tasks with Kubernetes, TensorFlow, Kubeflow, and Argo Workflows Make trade-offs between different patterns and approaches Manage and monitor machine learning workloads at scale Inside Distributed Machine Learning Patterns you’ll learn to apply established distributed systems patterns to machine learning projects—plus explore cutting-edge new patterns created specifically for machine learning. Firmly rooted in the real world, this book demonstrates how to apply patterns using examples based in TensorFlow, Kubernetes, Kubeflow, and Argo Workflows. Hands-on projects and clear, practical DevOps techniques let you easily launch, manage, and monitor cloud-native distributed machine learning pipelines. About the technology Deploying a machine learning application on a modern distributed system puts the spotlight on reliability, performance, security, and other operational concerns. In this in-depth guide, Yuan Tang, project lead of Argo and Kubeflow, shares patterns, examples, and hard-won insights on taking an ML model from a single device to a distributed cluster. About the book Distributed Machine Learning Patterns provides dozens of techniques for designing and deploying distributed machine learning systems. In it, you’ll learn patterns for distributed model training, managing unexpected failures, and dynamic model serving. You’ll appreciate the practical examples that accompany each pattern along with a full-scale project that implements distributed model training and inference with autoscaling on Kubernetes. What's inside Data ingestion, distributed training, model serving, and more Automating Kubernetes and TensorFlow with Kubeflow and Argo Workflows Manage and monitor workloads at scale About the reader For data analysts and engineers familiar with the basics of machine learning, Bash, Python, and Docker. About the author Yuan Tang is a project lead of Argo and Kubeflow, maintainer of TensorFlow and XGBoost, and author of numerous open source projects. Table of Contents PART 1 BASIC CONCEPTS AND BACKGROUND 1 Introduction to distributed machine learning systems PART 2 PATTERNS OF DISTRIBUTED MACHINE LEARNING SYSTEMS 2 Data ingestion patterns 3 Distributed training patterns 4 Model serving patterns 5 Workflow patterns 6 Operation patterns PART 3 BUILDING A DISTRIBUTED MACHINE LEARNING WORKFLOW 7 Project overview and system architecture 8 Overview of relevant technologies 9 A complete implementation","http://books.google.com/books/content?id=7G_mEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Lie Group Machine Learning","Fanzhang Li, Li Zhang, Zhao Zhang","This book explains deep learning concepts and derives semi-supervised learning and nuclear learning frameworks based on cognition mechanism and Lie group theory. Lie group machine learning is a theoretical basis for brain intelligence, Neuromorphic learning (NL), advanced machine learning, and advanced artifi cial intelligence. The book further discusses algorithms and applications in tensor learning, spectrum estimation learning, Finsler geometry learning, Homology boundary learning, and prototype theory. With abundant case studies, this book can be used as a reference book for senior college students and graduate students as well as college teachers and scientific and technical personnel involved in computer science, artifi cial intelligence, machine learning, automation, mathematics, management science, cognitive science, financial management, and data analysis. In addition, this text can be used as the basis for teaching the principles of machine learning. Li Fanzhang is professor at the Soochow University, China. He is director of network security engineering laboratory in Jiangsu Province and is also the director of the Soochow Institute of industrial large data. He published more than 200 papers, 7 academic monographs, and 4 textbooks. Zhang Li is professor at the School of Computer Science and Technology of the Soochow University. She published more than 100 papers in journals and conferences, and holds 23 patents. Zhang Zhao is currently an associate professor at the School of Computer Science and Technology of the Soochow University. He has authored and co-authored more than 60 technical papers.","http://books.google.com/books/content?id=Clo8EAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Machine Learning via Rust","Evan Pradipta Hardinatha, Jaisy Malikulmulki Arasy, Chevan Walidain, Daffa Asyqar Ahmad Khalisheka, Farrel Rassya, Idham Hanif Multazam, Raffy Aulia Adnan, Razka Athallah Adnan","Transform Machine Learning with Rust! 🤖🦀 Introducing MLVR - Machine Learning via Rust—the groundbreaking textbook that seamlessly blends the theoretical rigor of machine learning with the modern, high-performance capabilities of the Rust programming language! 🚀 Whether you're a student embarking on your machine learning journey or a professional looking to elevate your skills, MLVR is your comprehensive guide to mastering machine learning with Rust’s unparalleled strengths in performance, safety, and concurrency. ✨ Why Choose MLVR? 🔍 Comprehensive Coverage: From classical models like linear regression and neural networks to cutting-edge techniques such as AutoML and reinforcement learning, MLVR covers it all. 💡 Modern Integration: Leverage Rust’s unique ownership model and advanced type system to implement machine learning algorithms with unmatched safety and efficiency. 🛠️ Practical Implementation: Benefit from step-by-step coding guides, clear explanations, and real-world applications that bridge the gap between theory and practice. 🤖 Performance & Safety: Harness Rust’s core strengths to build machine learning models that are not only fast but also memory-safe and concurrent. Unlock the Benefits: ✅ High Performance: Optimize machine learning models to run at peak speed using Rust’s low-level control without compromising on safety. ✅ Scalable Solutions: Implement scalable and efficient machine learning systems that can handle large datasets and complex computations. ✅ Robust Deployments: Deploy machine learning models with confidence, knowing that Rust’s strong type system and ownership model prevent common programming errors. What You'll Explore: Foundations of Machine Learning: Understand the essential concepts and algorithms that form the backbone of machine learning. Advanced Techniques: Dive into sophisticated methods like AutoML and reinforcement learning, tailored for Rust’s ecosystem. Real-World Applications: Apply your knowledge to real-world projects, showcasing the practical power of Rust in machine learning. Optimization Strategies: Learn how to fine-tune your models for maximum performance and efficiency using Rust’s capabilities. Perfect For: Students seeking a solid foundation in machine learning with a modern programming language. Professionals aiming to enhance their machine learning expertise and optimize their Rust projects. Developers of all levels who want to implement, optimize, and deploy machine learning models effectively using Rust. Embrace the future of machine learning—transform your skills and projects with MLVR - Machine Learning via Rust’s innovative and comprehensive approach! 📚🌟 Start your journey towards mastering machine learning with Rust today and unlock new possibilities in this rapidly evolving field! 🏆 #MachineLearning #RustProgramming #MLVR #DataScience #AI #TechBooks #LearnRust #DeveloperSkills #SoftwareEngineering","http://books.google.com/books/content?id=NnwpEQAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Building Machine Learning Systems Using Python","Dr Deepti Chopra","Explore Machine Learning Techniques, Different Predictive Models, and its Applications Ê KEY FEATURESÊÊ _ Extensive coverage of real examples on implementation and working of ML models. _ Includes different strategies used in Machine Learning by leading data scientists. _ Focuses on Machine Learning concepts and their evolution to algorithms. DESCRIPTIONÊ This book covers basic concepts of Machine Learning, various learning paradigms, different architectures and algorithms used in these paradigms. You will learn the power of ML models by exploring different predictive modeling techniques such as Regression, Clustering, and Classification. You will also get hands-on experience on methods and techniques such as Overfitting, Underfitting, Random Forest, Decision Trees, PCA, and Support Vector Machines. In this book real life examples with fully working of Python implementations are discussed in detail. At the end of the book you will learn about the unsupervised learning covering Hierarchical Clustering, K-means Clustering, Dimensionality Reduction, Anomaly detection, Principal Component Analysis.Ê WHAT YOU WILL LEARN _ Learn to perform data engineering and analysis. _ Build prototype ML models and production ML models from scratch. _ Develop strong proficiency in using scikit-learn and Python. _ Get hands-on experience with Random Forest, Logistic Regression, SVM, PCA, and Neural Networks. WHO THIS BOOK IS FORÊÊ This book is meant for beginners who want to gain knowledge about Machine Learning in detail. This book can also be used by Machine Learning users for a quick reference for fundamentals in Machine Learning. Readers should have basic knowledge of Python and Scikit-Learn before reading the book. TABLE OF CONTENTS 1. Introduction to Machine Learning 2. Linear Regression 3. Classification Using Logistic Regression 4. Overfitting and Regularization 5. Feasibility of Learning 6. Support Vector Machine 7. Neural Network 8. Decision Trees 9. Unsupervised Learning 10. Theory of Generalization 11. Bias and Fairness in ML","http://books.google.com/books/content?id=LAotEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Software Engineering","D. Sundar","N/A","http://books.google.com/books/content?id=kU_goyAq6hAC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Software Engineering","Kassem A. Saleh","This book provides the software engineering fundamentals, principles and skills needed to develop and maintain high quality software products. It covers requirements specification, design, implementation, testing and management of software projects. It is aligned with the SWEBOK, Software Engineering Undergraduate Curriculum Guidelines and ACM Joint Task Force Curricula on Computing.","http://books.google.com/books/content?id=N69KPjBEWygC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"SOFTWARE ENGINEERING","JAMES, K. L.","The concepts, trends and practices in different phases of software development have taken sufficient advancement from the traditional ones. With these changes, methods of developing software, system architecture, software design, software coding, software maintenance and software project management have taken new shapes. Software Engineering discusses the principles, methodologies, trends and practices associated with different phases of software engineering. Starting from the basics, the book progresses slowly to advanced and emerging topics on software project management, process models, developing methodologies, software specification, testing, quality control, deployment, software security, maintenance and software reuse. Case study is a special feature of this book that discusses real life situation of dealing with IT related problems and finding their practical solutions in an easy manner. Elegant and simple style of presentation makes reading of this book a pleasant experience.Students of Computer Science and Engineering, Information Technology and Computer Applications should find this book highly useful. It would also be useful for IT technology professionals who are interested to get acquainted with the latest and the newest technologies.","http://books.google.com/books/content?id=ZpT5CgAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Software Engineering","Bharat Bhushan Agarwal, Sumit Prakash Tayal","N/A","http://books.google.com/books/content?id=CDWRq0B9e5kC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"SOFTWARE ENGINEERING","K. L. JAMES","Software Engineering discusses the major issues associated with different phases of software development life cycle. Starting from the basics, the book discusses several advanced topics. Topics like software project management, software process models, developing methodologies, software specification, software testing and quality, software implementation, software security, software maintenance and software reuse are discussed. This book also gives an introduction to the new emerging technologies, trends and practices in software engineering field. New topics such as MIMO technology, AJAX, etc. are included in the book. The topics like .NET framework, J2EE, etc. are also dealt with. Case Studies, discussions on real-life situations of dealing with IT related problems and finding their solutions in an easy manner, are given in each chapter. Elegant and simple style of presentation makes the reading of this book a pleasant experience. Students of Computer Science and Engineering, Information Technology and Computer Applications should find this book highly useful. It would also be useful for IT technology professionals who are interested to get acquainted with the latest and the newest technologies.","http://books.google.com/books/content?id=lQnD4lC-9ZEC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Software Engineering","Sajan Mathew","This book is a comprehensive, step-by-step guide to software engineering.This book provides an introduction to software engineering for students in undergraduate and post graduate programs in computers.","http://books.google.com/books/content?id=arXKB7jho4oC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Software Engineering Fundamental","Alind Saxena","The aim of this book is to refresh you from software engineering fundamental concepts, basic day to day Definitions / Terminologies, Development Models, Encompassing Specifications, Function Oriented Modelling, Object Oriented Modelling, Dynamic Modelling, Analysis, Design, Coding, Testing, Implementation, Metrics, PERT Charts, Gantt Charts, Project Management, Software Configuration Management, Software Maintenance, Software Quality Assurance etc. You will utilize it during the period of learning and even after that. It will give the glimpse of array of questions and answers. It will induce the capacity and capability and confidence in you to do real life applications. It is hoped that you will drink the water not for you only but will provide to others. A job teaches us to obey while expertise and perfection are the result of our own efforts. Do practice with software paradigms (Structured Programming, Modular Programming, Objects Oriented Programming etc.) and measure the same to become Software Engineer.","http://books.google.com/books/content?id=oY8mEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
